Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000356224,05/03/2020 01:53:28 AM,,,96,,,,4C,,1300,BRIARVILLE RD,5271,,222X,0,36.244,-86.736,POINT (-86.736 36.244)
PD202000356223,05/03/2020 01:53:28 AM,,,43,,P,PROGRESS,5,,,,313C,S,321,8701,,,
PD202000356225,05/03/2020 01:54:13 AM,,,43,,P,PROGRESS,11,,5600,FRIST BLVD,,521,521,9561,,,
PD202000356226,05/03/2020 01:57:27 AM,,,96,,,,4,,,,815C,MT,815N,5909,,,
PD202000356227,05/03/2020 01:57:43 AM,,,96,,,,12,,,,5281,MT,811,5701,,,
PD202000356228,05/03/2020 01:59:00 AM,,,96,,,,12,,2900,12TH AV S,823C,,115X,0,36.121,-86.79,POINT (-86.79 36.121)
PD202000356230,05/03/2020 02:01:57 AM,,,96,,,,12,,,,833C,MT,835,8651,,,
PD202000356231,05/03/2020 02:02:10 AM,,,87,,P,PROGRESS,6,,,,825C,W,117,6001,,,
PD202000356233,05/03/2020 02:03:16 AM,,,96,,,,12,,,,511C,H,513,8215,,,
PD202000356234,05/03/2020 02:03:49 AM,,,44,,P,PROGRESS,5,,,,625C,N,617K,4239,,,
PD202000356235,05/03/2020 02:05:29 AM,,,96,,,,15,,,,421C,C,421N,4093,,,
PD202000356236,05/03/2020 02:05:35 AM,,,96,,,,15,,,,411C,C,413K,1955,,,
PD202000356237,05/03/2020 02:06:53 AM,,,43,,P,PROGRESS,4,,,,221C,E,221N,1981,,,
PD202000356239,05/03/2020 02:07:47 AM,,,96,,,,4C,,,,5271,H,525,9711,,,
PD202000356240,05/03/2020 02:08:04 AM,,,96,,,,12,,,,831C,MT,833N,8601,,,
PD202000356241,05/03/2020 02:08:11 AM,,,96,,,,15,,7300,CHARLOTTE PKE,122C,,136Y,0,36.118,-86.921,POINT (-86.921 36.118)
PD202000356244,05/03/2020 02:09:31 AM,,,96,,,,12,,,,821C,MT,821K,8051,,,
PD202000356245,05/03/2020 02:09:59 AM,20200312906,,50,,TV,,6,,,,323C,,,,,,
PD202000356246,05/03/2020 02:09:59 AM,,,43,,P,PROGRESS,4,,,,215C,E,215,1321,,,
PD202000356247,05/03/2020 02:10:19 AM,,,96,,,,12,,15300,OLD HICKORY BLVD,833C,,,,,,
PD202000356249,05/03/2020 02:12:08 AM,,,52,,P,PROGRESS,11,,2400,25TH AV N,811C,,411Y,0,36.188,-86.817,POINT (-86.817 36.188)
PD202000356251,05/03/2020 02:12:54 AM,,,43,,P,PROGRESS,4,,,,331C,S,321,8713,,,
PD202000356256,05/03/2020 02:14:11 AM,,,96,,,,12,,,,125C,W,125K,4811,,,
PD202000356257,05/03/2020 02:14:12 AM,,,96,,,,4,,,,815C,MT,811K,5521,,,
PD202000356258,05/03/2020 02:14:55 AM,,,71,,A,ALARM,7A,,,,324C,S,325,,,,
PD202000356259,05/03/2020 02:15:06 AM,,,40,,PV,,15,,,,111C,W,111,4509,,,
PD202000356262,05/03/2020 02:16:00 AM,,,40,,PV,,6,,3100,MCGAVOCK PKE,513C,,332S,0,36.184,-86.677,POINT (-86.677 36.184)
PD202000356263,05/03/2020 02:17:08 AM,,,43,,P,PROGRESS,6,,,,213C,E,227N,1933,,,
PD202000356264,05/03/2020 02:17:16 AM,,,96,,,,12,,,,833C,MT,833,8621,,,
PD202000356267,05/03/2020 02:18:10 AM,,,43,,P,PROGRESS,15,,,,831C,MT,831,8661,,,
PD202000356268,05/03/2020 02:19:23 AM,,,96,,,,12,,,,833C,MT,835N,8651,,,
PD202000356269,05/03/2020 02:20:07 AM,,,96,,,,12,,,,835C,MT,835,8651,,,
PD202000356270,05/03/2020 02:20:17 AM,,,96,,,,12,,500,THOMPSON LN,825C,S,313K,,,,
PD202000356273,05/03/2020 02:21:16 AM,,,15,,P,PROGRESS,15,,,,517A9,N,613,4451,,,
PD202000356274,05/03/2020 02:22:02 AM,,,96,,,,12,,,,823C,MT,823N,6945,,,
PD202000356275,05/03/2020 02:23:03 AM,,,96,,,,12,,,,334C,S,331K,8719,,,
PD202000356277,05/03/2020 02:23:56 AM,,,96,,,,4C,,,,5271,H,517K,,,,
PD202000356280,05/03/2020 02:26:56 AM,,,96,,,,12,,,,811C,MT,811K,6721,,,
PD202000356283,05/03/2020 02:27:41 AM,,,96,,,,12,,,,315C,S,315K,8803,,,
PD202000356285,05/03/2020 02:29:26 AM,,,43,,P,PROGRESS,4,,,,333C,S,333,8867,,,
PD202000356286,05/03/2020 02:29:43 AM,,,96,,,,12,,,,811C,MT,811K,5701,,,
PD202000356287,05/03/2020 02:30:54 AM,,,43,,P,PROGRESS,4,,,,211C,CW,211,1017,,,
PD202000356288,05/03/2020 02:31:09 AM,,,96,,,,12,,7600,HIGHWAY 70 S,125C,W,137K,,,,
PD202000356289,05/03/2020 02:32:05 AM,,,96,,,,12,,,,113C,W,121N,5017,,,
PD202000356290,05/03/2020 02:32:25 AM,,,44,,P,PROGRESS,4,,,,625C,N,617N,4341,,,
PD202000356291,05/03/2020 02:33:07 AM,,,96,,,,12,,,,823C,MT,825K,6405,,,
PD202000356292,05/03/2020 02:33:39 AM,,,40,,TS,TERRY STOP,9,,,,513C,H,513,9011,,,
PD202000356293,05/03/2020 02:35:52 AM,,,96,,,,12,,,,117C,W,117K,6111,,,
PD202000356294,05/03/2020 02:35:57 AM,,,96,,,,12,,,,811C,MT,811K,5701,,,
PD202000356297,05/03/2020 02:38:05 AM,,,96,,,,12,,,,811C,MT,811K,5701,,,
PD202000356298,05/03/2020 02:38:27 AM,20200312961,,59,,P,PROGRESS,6,,,,312C,,,,,,
PD202000356299,05/03/2020 02:39:21 AM,,,43,,P,PROGRESS,6,,,,823C,MT,821,8021,,,
