Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000175093,03/03/2020 01:10:43 AM,,,71,,A,ALARM,11,,,,,H,521,,,,
PD202000175094,03/03/2020 01:10:59 AM,,,87,,P,PROGRESS,4,,,,220C1,E,213,1131,,,
PD202000175095,03/03/2020 01:11:01 AM,,,62,,P,PROGRESS,6,,1500,BRENTRIDGE DR,335C,,318Z,0,36.048,-86.685,POINT (-86.685 36.048)
PD202000175096,03/03/2020 01:12:17 AM,,,96,,,,12,,2700,MURFREESBORO PKE,335C,339,333,8865,,,
PD202000175097,03/03/2020 01:12:52 AM,,,71,,A,ALARM,12,,,,714C,M,713,,,,
PD202000175099,03/03/2020 01:13:20 AM,,,71,,A,ALARM,12,,,,711A,M,711,,,,
PD202000175100,03/03/2020 01:13:49 AM,20200150971,,64,,P,PROGRESS,10,,,,210C,E,213,1131,,,
PD202000175101,03/03/2020 01:13:57 AM,,,88,,PW,,11,,700,MARGARET ROBERTSON DR,,,,,,,
PD202000175102,03/03/2020 01:13:58 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,3600,QUAIL DR,511A,521,521,9561,,,
PD202000175104,03/03/2020 01:14:12 AM,,,71,,A,ALARM,12,,1100,GALLATIN PKE S,714C,M,711,1507,,,
PD202000175105,03/03/2020 01:14:29 AM,,,73,,P,PROGRESS,6,,,,835C,C,413K,4311,,,
PD202000175106,03/03/2020 01:15:14 AM,,,43,,P,PROGRESS,4,,,,835C,MT,833,8615,,,
PD202000175107,03/03/2020 01:15:55 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,LEBANON PKE,,,521,9601,,,
PD202000175108,03/03/2020 01:16:11 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,5600,OLD HICKORY BLVD,532C,523,523,9557,,,
PD202000175109,03/03/2020 01:16:52 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,532C,H,515K,9217,,,
PD202000175110,03/03/2020 01:17:05 AM,,,43,,P,PROGRESS,4,,,,833C,W,117,6205,,,
PD202000175112,03/03/2020 01:18:34 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,532C,H,515,9207,,,
PD202000175113,03/03/2020 01:19:01 AM,,,43,,P,PROGRESS,4,,1300,MURFREESBORO PKE,313C,,321V,0,36.116,-86.697,POINT (-86.697 36.116)
PD202000175114,03/03/2020 01:19:05 AM,,,71,,A,ALARM,12,,,,515C9,H,525,,,,
PD202000175115,03/03/2020 01:19:14 AM,,,43,,P,PROGRESS,4,,,,323A,H,523,,,,
PD202000175116,03/03/2020 01:19:32 AM,,,58,,P,PROGRESS,4,,1000,CEDAR POINTE PKWY,321C,335,325,8721,36.046,-86.663,POINT (-86.663 36.046)
PD202000175117,03/03/2020 01:20:31 AM,,,43,,P,PROGRESS,6,,,,7C62,E,215K,1301,,,
PD202000175119,03/03/2020 01:21:15 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,OLD HICKORY BLVD,525C,,521,9511,,,
PD202000175120,03/03/2020 01:22:12 AM,,,70,,A,ALARM,11,,,,,N,613,,,,
PD202000175121,03/03/2020 01:22:37 AM,,,44,,P,PROGRESS,5,,,,211C,E,227K,1999,,,
PD202000175122,03/03/2020 01:23:35 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,515C,H,515,9319,,,
PD202000175123,03/03/2020 01:25:34 AM,,,73,,P,PROGRESS,11,,,,,E,213N,1249,,,
PD202000175124,03/03/2020 01:27:30 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,OLD HICKORY BLVD,,,521,9511,,,
PD202000175125,03/03/2020 01:28:23 AM,,,73,,P,PROGRESS,11,,,,,TE,115K,4653,,,
PD202000175127,03/03/2020 01:29:27 AM,,,87,,P,PROGRESS,11,,,,,H,513N,9096,,,
PD202000175128,03/03/2020 01:29:54 AM,,,43,,P,PROGRESS,4,,5500,OLD HICKORY BLVD,523C,523,523,9557,,,
PD202000175129,03/03/2020 01:30:10 AM,,,43,,P,PROGRESS,6,,,OLD HICKORY BLVD,521C,,521,9561,,,
PD202000175131,03/03/2020 01:30:31 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,532C,H,515K,9207,,,
PD202000175132,03/03/2020 01:30:52 AM,,,87,,P,PROGRESS,6,,,,823C,E,213,1209,,,
PD202000175134,03/03/2020 01:31:05 AM,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,11,,,,227C,E,215,1355,,,
PD202000175137,03/03/2020 01:32:43 AM,,,70,,A,ALARM,12,,200,HICKORY HOLLOW TER,331C,335,325,8861,,,
PD202000175138,03/03/2020 01:33:41 AM,20200150987,,71,,P,PROGRESS,10,,,,320C,,,,,,
PD202000175139,03/03/2020 01:34:06 AM,,,43,,P,PROGRESS,6,,,,111C,W,115,4641,,,
PD202000175140,03/03/2020 01:34:12 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,622C,N,613,4467,,,
PD202000175141,03/03/2020 01:34:46 AM,,,87,,P,PROGRESS,4T,,,,515C9,H,513K,92960,,,
PD202000175142,03/03/2020 01:35:52 AM,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,4,,6100,N NEW HOPE RD,511A,523,523,9541,,,
PD202000175143,03/03/2020 01:36:51 AM,,,87,,P,PROGRESS,4,,,,627C,N,625,31040,,,
PD202000175144,03/03/2020 01:37:07 AM,,,43,,P,PROGRESS,6,,,,610C,N,617K,4325,,,
PD202000175145,03/03/2020 01:38:05 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,LEBANON PKE,521C,,521,9601,,,
PD202000175146,03/03/2020 01:38:21 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,7F75,N,617,4239,,,
PD202000175148,03/03/2020 01:40:33 AM,,,43,,P,PROGRESS,4,,,,211C,ECC,,1209,,,
PD202000175150,03/03/2020 01:41:42 AM,,,53,,A,ALARM,11,,,,,N,611,,,,
PD202000175151,03/03/2020 01:41:58 AM,,,73,,P,PROGRESS,11,,,,2E18,E,213,1225,,,
PD202000175152,03/03/2020 01:42:05 AM,,,70,,A,ALARM,11,,,,,N,613N,4453,,,
PD202000175153,03/03/2020 01:42:17 AM,,,43,,P,PROGRESS,6,,,,220C,E,213,1127,,,
PD202000175154,03/03/2020 01:42:23 AM,,,73,,P,PROGRESS,11,,,,,H,515,9207,,,
PD202000175155,03/03/2020 01:42:25 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,6,,,E PALESTINE AV,725C,,711,1507,36.249,-86.716,POINT (-86.716 36.249)
PD202000175156,03/03/2020 01:42:34 AM,,,96,,,,12,,,,313C,S,315N,8835,,,
PD202000175157,03/03/2020 01:43:12 AM,,,73,,P,PROGRESS,4,,,,7F75,N,613N,4475,,,
PD202000175158,03/03/2020 01:43:20 AM,20200150993,,71,,P,PROGRESS,6A,,,,5271,,,,,,
PD202000175159,03/03/2020 01:43:52 AM,,,45,,P,PROGRESS,11,,,,5T72,H,531,8902,,,
PD202000175160,03/03/2020 01:44:09 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,1400,MARKET SQ,521C,H,523,9559,36.184,-86.601,POINT (-86.601 36.184)
PD202000175161,03/03/2020 01:45:33 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,714C,N,617,,,,
PD202000175162,03/03/2020 01:45:53 AM,,,71,,A,ALARM,12,,,,317C,S,317,,,,
PD202000175163,03/03/2020 01:45:58 AM,,,73,,P,PROGRESS,4,,,,616C,N,617,4303,,,
PD202000175164,03/03/2020 01:46:51 AM,,,73,,P,PROGRESS,4,,4100,DODSON CHAPEL CT,531C,,521,9511,36.182,-86.612,POINT (-86.612 36.182)
PD202000175165,03/03/2020 01:47:19 AM,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,315C,E,213,1219,,,
PD202000175166,03/03/2020 01:47:34 AM,,,43,,P,PROGRESS,4,,6400,CENTENNIAL BLVD,113C,,,,,,
